hour_of_year,load_kw
1,16.593
2,16.581
3,16.607
4,16.945
5,16.6
6,16.03
7,16.792
8,16.542
9,33.482
10,33.763
11,33.861
12,34.205
13,32.525
14,31.136
15,29.891
16,14.899
17,15.463
18,16.119
19,16.004
20,16.439
21,16.875
22,16.048
23,16.523
24,16.857
25,17.017
26,16.553
27,16.81
28,16.757
29,16.979
30,31.134
31,39.409
32,46.589
33,54.189
34,58.453
35,57.995
36,60.217
37,58.647
38,55.009
39,53.144
40,42.546
41,36.932
42,33.263
43,31.817
44,16.82
45,16.919
46,16.799
47,16.924
48,16.852
49,16.392
50,16.355
51,16.458
52,16.861
53,16.549
54,33.895
55,38.062
56,47.092
57,59.101
58,61.463
59,60.104
60,60.158
61,59.746
62,56.605
63,50.191
64,43.059
65,37.893
66,32.3
67,31.753
68,16.587
69,16.522
70,16.954
71,16.895
72,17.62
73,16.911
74,16.399
75,16.419
76,16.307
77,17.05
78,31.571
79,38.789
80,49.329
81,56.938
82,58.918
83,56.621
84,57.332
85,56.87
86,57.328
87,53.595
88,43.62
89,37.253
90,33.65
91,32.587
92,16.85
93,16.767
94,16.232
95,17.029
96,16.812
97,17.164
98,16.641
99,17.466
100,16.504
101,17.316
102,32.117
103,38.356
104,47.056
105,57.768
106,61.466
107,60.565
108,59.941
109,54.262
110,57.747
111,52.765
112,43.04
113,36.431
114,33.508
115,33.095
116,16.048
117,16.475
118,17.22
119,16.467
120,16.502
121,16.694
122,16.136
123,16.745
124,16.15
125,17.022
126,16.654
127,17.604
128,16.77
129,17.222
130,33.626
131,34.652
132,34.608
133,34.537
134,30.792
135,32.327
136,15.513
137,15.957
138,15.885
139,16.008
140,16.267
141,16.134
142,16.735
143,16.573
144,17.494
145,16.399
146,16.787
147,16.0
148,16.489
149,16.762
150,16.996
151,17.256
152,16.635
153,16.188
154,35.156
155,35.207
156,34.753
157,32.514
158,33.054
159,31.615
160,15.554
161,15.858
162,15.845
163,16.102
164,17.369
165,16.755
166,16.53
167,16.7
168,17.27
169,16.703
170,16.869
171,17.151
172,16.44
173,15.934
174,32.265
175,39.081
176,47.686
177,59.25
178,60.255
179,57.877
180,59.69
181,57.406
182,54.635
183,52.631
184,43.591
185,36.322
186,33.948
187,32.114
188,16.244
189,16.82
190,17.076
191,16.356
192,16.812
193,16.654
194,17.597
195,15.878
196,16.943
197,16.526
198,31.945
199,40.705
200,48.412
201,61.236
202,58.698
203,59.874
204,58.203
205,56.692
206,56.827
207,51.674
208,43.861
209,35.064
210,35.187
211,31.594
212,17.201
213,16.234
214,16.775
215,17.971
216,16.291
217,16.031
218,16.426
219,16.85
220,16.942
221,17.19
222,31.82
223,37.301
224,47.896
225,59.785
226,60.045
227,56.45
228,58.875
229,59.705
230,59.755
231,52.773
232,43.977
233,35.864
234,32.803
235,31.764
236,16.69
237,16.895
238,16.454
239,16.174
240,16.329
241,16.171
242,16.921
243,15.69
244,16.514
245,16.84
246,33.244
247,38.927
248,49.634
249,57.409
250,58.249
251,58.353
252,61.177
253,59.122
254,57.43
255,56.375
256,43.605
257,37.585
258,33.767
259,31.551
260,17.437
261,17.28
262,16.071
263,16.487
264,16.831
265,16.979
266,16.092
267,15.714
268,15.859
269,16.624
270,31.943
271,39.193
272,47.491
273,56.212
274,56.352
275,59.842
276,59.472
277,59.121
278,57.86
279,51.794
280,45.112
281,36.885
282,32.956
283,31.314
284,16.241
285,15.752
286,16.718
287,16.757
288,16.502
289,16.356
290,16.808
291,17.368
292,16.669
293,16.442
294,16.407
295,16.624
296,16.127
297,16.601
298,34.811
299,36.361
300,35.141
301,33.949
302,31.57
303,32.074
304,14.851
305,15.488
306,15.77
307,15.681
308,17.306
309,16.889
310,15.861
311,16.883
312,16.484
313,16.654
314,16.847
315,16.816
316,15.804
317,16.171
318,16.975
319,17.195
320,17.446
321,17.404
322,32.972
323,35.427
324,32.686
325,34.428
326,32.347
327,30.646
328,16.055
329,15.616
330,14.869
331,16.104
332,16.181
333,16.7
334,16.459
335,17.225
336,16.061
337,16.785
338,17.408
339,16.309
340,16.741
341,16.737
342,16.366
343,16.923
344,16.694
345,32.871
346,35.148
347,34.331
348,33.099
349,31.491
350,30.441
351,31.39
352,15.231
353,15.545
354,15.535
355,16.233
356,16.435
357,16.971
358,16.577
359,16.999
360,16.933
361,16.605
362,16.295
363,16.262
364,16.345
365,16.243
366,32.719
367,38.812
368,50.323
369,61.291
370,59.39
371,57.057
372,58.365
373,57.58
374,54.627
375,51.716
376,43.953
377,36.586
378,32.866
379,31.125
380,17.219
381,16.587
382,16.308
383,16.498
384,17.05
385,16.368
386,16.854
387,16.956
388,16.965
389,17.236
390,31.585
391,39.958
392,47.462
393,57.412
394,61.128
395,60.574
396,58.93
397,55.97
398,57.535
399,51.222
400,42.632
401,36.412
402,33.716
403,30.044
404,16.631
405,16.726
406,16.41
407,17.085
408,16.908
409,16.401
410,16.374
411,16.943
412,16.022
413,16.515
414,31.52
415,38.925
416,48.678
417,58.041
418,61.038
419,59.692
420,58.463
421,55.942
422,57.762
423,52.729
424,45.223
425,36.32
426,33.532
427,31.68
428,16.446
429,16.657
430,15.939
431,16.997
432,16.925
433,17.124
434,17.59
435,16.52
436,16.638
437,16.657
438,33.58
439,37.176
440,49.01
441,55.855
442,55.523
443,56.355
444,56.891
445,59.23
446,55.507
447,51.746
448,42.37
449,37.577
450,32.586
451,32.772
452,16.073
453,16.335
454,16.704
455,16.663
456,17.246
457,16.703
458,16.15
459,16.42
460,16.415
461,16.955
462,16.813
463,16.603
464,17.015
465,16.433
466,34.64
467,34.915
468,35.643
469,33.012
470,31.861
471,30.721
472,15.549
473,15.142
474,15.741
475,15.227
476,16.912
477,16.099
478,16.33
479,17.094
480,16.098
481,16.62
482,16.684
483,16.237
484,17.212
485,17.277
486,15.832
487,16.05
488,16.99
489,16.111
490,34.42
491,34.871
492,34.925
493,32.908
494,32.22
495,30.933
496,15.781
497,15.178
498,15.74
499,15.783
500,16.526
501,16.583
502,16.586
503,16.231
504,16.985
505,17.242
506,16.754
507,16.958
508,17.002
509,17.04
510,32.268
511,39.064
512,49.468
513,58.087
514,57.908
515,59.389
516,56.145
517,57.68
518,57.325
519,53.65
520,43.805
521,37.87
522,33.509
523,30.915
524,15.901
525,16.249
526,16.084
527,16.917
528,16.567
529,16.891
530,16.684
531,17.088
532,17.095
533,16.384
534,31.806
535,38.34
536,46.46
537,58.966
538,61.118
539,59.344
540,58.2
541,59.262
542,53.412
543,52.273
544,43.796
545,36.483
546,34.675
547,32.497
548,16.375
549,16.617
550,16.492
551,16.44
552,16.109
553,17.228
554,17.081
555,16.985
556,16.198
557,17.519
558,33.611
559,39.04
560,47.328
561,56.731
562,59.975
563,57.999
564,58.876
565,59.259
566,54.601
567,54.652
568,45.349
569,35.867
570,32.325
571,31.502
572,16.057
573,16.543
574,15.579
575,16.558
576,17.404
577,16.188
578,16.539
579,16.033
580,16.919
581,16.559
582,33.579
583,39.058
584,47.972
585,58.785
586,58.602
587,57.366
588,59.371
589,57.436
590,56.974
591,52.531
592,43.083
593,37.402
594,34.965
595,30.848
596,17.198
597,16.552
598,16.334
599,17.664
600,16.718
601,17.224
602,16.994
603,15.953
604,16.703
605,16.434
606,30.951
607,37.136
608,48.546
609,58.843
610,59.933
611,58.9
612,57.75
613,56.265
614,55.951
615,50.698
616,43.418
617,36.99
618,32.759
619,31.543
620,16.169
621,16.651
622,16.864
623,16.727
624,16.85
625,15.965
626,16.496
627,16.768
628,16.92
629,15.988
630,16.719
631,17.155
632,16.579
633,16.614
634,35.15
635,34.973
636,34.91
637,33.153
638,32.266
639,30.929
640,15.222
641,15.85
642,15.527
643,15.92
644,16.28
645,16.981
646,16.297
647,17.032
648,16.263
649,16.213
650,16.739
651,16.707
652,16.777
653,17.096
654,16.481
655,16.838
656,16.274
657,17.177
658,35.308
659,35.224
660,34.492
661,32.443
662,31.88
663,31.942
664,15.279
665,15.416
666,15.077
667,16.06
668,16.197
669,16.202
670,16.589
671,15.88
672,16.944
673,17.008
674,16.631
675,16.239
676,16.26
677,16.59
678,30.085
679,39.033
680,49.227
681,57.535
682,58.62
683,59.624
684,59.443
685,59.266
686,56.765
687,51.145
688,43.137
689,37.18
690,34.813
691,31.473
692,16.049
693,16.291
694,15.78
695,16.79
696,16.086
697,16.14
698,15.83
699,16.188
700,16.89
701,16.107
702,30.625
703,39.031
704,48.009
705,58.614
706,60.452
707,59.341
708,57.015
709,57.51
710,57.448
711,51.284
712,42.072
713,38.032
714,33.162
715,31.402
716,16.489
717,17.082
718,16.763
719,16.514
720,16.937
721,17.547
722,17.231
723,16.933
724,16.186
725,18.215
726,31.066
727,38.496
728,47.575
729,60.346
730,59.977
731,57.236
